"","zip","cnt_total"
"1","60601",11
"2","60602",1
"3","60603",0
"4","60604",0
"5","60605",10
"6","60606",3
"7","60607",8
"8","60608",123
"9","60609",122
"10","60610",28
"11","60611",12
"12","60612",55
"13","60613",41
"14","60614",85
"15","60615",30
"16","60616",81
"17","60617",126
"18","60618",100
"19","60619",109
"20","60620",117
"21","60621",72
"22","60622",68
"23","60623",233
"24","60624",62
"25","60625",166
"26","60626",153
"27","60628",177
"28","60629",212
"29","60630",107
"30","60631",80
"31","60632",178
"32","60633",11
"33","60634",127
"34","60636",88
"35","60637",51
"36","60638",106
"37","60639",207
"38","60640",136
"39","60641",103
"40","60642",20
"41","60643",110
"42","60644",113
"43","60645",96
"44","60646",60
"45","60647",138
"46","60649",147
"47","60651",122
"48","60652",83
"49","60653",54
"50","60654",6
"51","60655",32
"52","60656",45
"53","60657",46
"54","60659",80
"55","60660",62
"56","60661",1
"57","60666",0
"58","60707",36
"59","60827",11
